RespondentID,theta_hat,total_score
R1,-1.0632,9
R2,-0.2145,14
R3,-1.7422,5
R4,1.1433,22
R5,0.1249,16
R6,-0.554,12
R7,-0.3843,13
R8,0.1249,16
R9,-0.8935,10
R10,-0.7237,11
R11,0.6341,19
R12,0.6341,19
R13,-0.2145,14
R14,-0.3843,13
R15,0.8039,20
R16,-0.7237,11
R17,-0.3843,13
R18,0.2947,17
R19,0.6341,19
R20,-1.4027,7
R21,-1.0632,9
R22,0.2947,17
R23,-0.0448,15
R24,-0.3843,13
R25,0.4644,18
R26,1.8223,26
R27,-1.5724,6
R28,1.992,27
R29,-1.4027,7
R30,0.4644,18
R31,-0.554,12
R32,1.3131,23
R33,0.8039,20
R34,1.1433,22
R35,-0.0448,15
R36,0.6341,19
R37,-0.8935,10
R38,-0.2145,14
R39,0.8039,20
R40,1.3131,23
R41,0.8039,20
R42,-0.2145,14
R43,-1.0632,9
R44,1.4828,24
R45,0.9736,21
R46,0.6341,19
R47,1.992,27
R48,-0.3843,13
R49,1.4828,24
R50,1.992,27
R51,1.6525,25
R52,0.8039,20
R53,-0.7237,11
R54,0.6341,19
R55,-0.554,12
R56,-0.0448,15
R57,0.2947,17
R58,-0.2145,14
R59,0.6341,19
R60,-0.7237,11
R61,-0.3843,13
R62,-1.4027,7
R63,-1.0632,9
R64,-1.233,8
R65,-0.7237,11
R66,1.4828,24
R67,-0.2145,14
R68,-0.0448,15
R69,-0.7237,11
R70,0.2947,17
R71,-1.4027,7
R72,-0.3843,13
R73,1.992,27
R74,-0.7237,11
R75,1.1433,22
R76,0.4644,18
R77,-0.3843,13
R78,-0.554,12
R79,1.3131,23
R80,0.2947,17
R81,1.4828,24
R82,-1.0632,9
R83,-0.2145,14
R84,0.4644,18
R85,-0.0448,15
R86,-0.8935,10
R87,-1.0632,9
R88,-0.3843,13
R89,-0.7237,11
R90,0.6341,19
R91,0.6341,19
R92,-1.4027,7
R93,-1.7422,5
R94,-1.233,8
R95,-0.0448,15
R96,1.4828,24
R97,-0.2145,14
R98,0.2947,17
R99,-0.8935,10
R100,-1.233,8
R101,-1.5724,6
R102,-0.554,12
R103,0.9736,21
R104,-0.7237,11
R105,1.6525,25
R106,-0.2145,14
R107,-0.554,12
R108,0.6341,19
R109,0.1249,16
R110,1.1433,22
R111,-0.2145,14
R112,-2.2514,2
R113,-0.3843,13
R114,-0.0448,15
R115,0.1249,16
R116,1.8223,26
R117,-1.5724,6
R118,0.8039,20
R119,0.4644,18
R120,0.1249,16
R121,1.1433,22
R122,-0.8935,10
R123,-0.8935,10
R124,1.3131,23
R125,0.2947,17
R126,0.9736,21
R127,0.6341,19
R128,1.8223,26
R129,-0.3843,13
R130,-1.0632,9
R131,-2.2514,2
R132,-1.4027,7
R133,1.1433,22
R134,-1.4027,7
R135,-0.7237,11
R136,1.8223,26
R137,0.9736,21
R138,1.4828,24
R139,-1.0632,9
R140,-2.4211,1
R141,1.8223,26
R142,-1.7422,5
R143,-0.2145,14
R144,-0.0448,15
R145,-1.4027,7
R146,1.4828,24
R147,1.4828,24
R148,0.6341,19
R149,-0.0448,15
R150,0.2947,17
R151,-1.0632,9
R152,0.4644,18
R153,-0.2145,14
R154,-0.7237,11
R155,0.4644,18
R156,-1.9119,4
R157,-0.7237,11
R158,-2.4211,1
R159,0.2947,17
R160,0.1249,16
R161,0.2947,17
R162,1.992,27
R163,0.8039,20
R164,-0.554,12
R165,1.8223,26
R166,-0.7237,11
R167,0.4644,18
R168,0.1249,16
R169,-1.4027,7
R170,1.3131,23
R171,0.6341,19
R172,-0.2145,14
R173,-0.8935,10
R174,0.9736,21
R175,-0.8935,10
R176,-1.5724,6
R177,1.3131,23
R178,-0.3843,13
R179,-0.0448,15
R180,1.992,27
R181,0.2947,17
R182,0.6341,19
R183,0.6341,19
R184,-0.2145,14
R185,0.4644,18
R186,0.9736,21
R187,0.4644,18
R188,-0.7237,11
R189,-2.5908,0
R190,0.9736,21
R191,-0.3843,13
R192,-0.2145,14
R193,1.3131,23
R194,0.1249,16
R195,0.1249,16
R196,-1.5724,6
R197,-0.7237,11
R198,-0.0448,15
R199,0.8039,20
R200,0.1249,16
R201,-0.3843,13
R202,0.6341,19
R203,-0.0448,15
R204,0.1249,16
R205,0.1249,16
R206,0.6341,19
R207,-0.7237,11
R208,0.1249,16
R209,0.4644,18
R210,0.1249,16
R211,-0.8935,10
R212,0.4644,18
R213,0.9736,21
R214,-1.0632,9
R215,0.6341,19
R216,0.2947,17
R217,-0.3843,13
R218,-0.554,12
R219,-1.4027,7
R220,-0.554,12
R221,-1.4027,7
R222,-0.7237,11
R223,-0.3843,13
R224,-0.7237,11
R225,-0.0448,15
R226,-0.0448,15
R227,-0.554,12
R228,-0.7237,11
R229,-0.8935,10
R230,0.1249,16
R231,-0.2145,14
R232,1.3131,23
R233,1.8223,26
R234,1.3131,23
R235,1.6525,25
R236,-1.7422,5
R237,0.6341,19
R238,0.6341,19
R239,0.2947,17
R240,1.4828,24
R241,1.8223,26
R242,0.4644,18
R243,0.9736,21
R244,-1.5724,6
R245,-0.554,12
R246,0.8039,20
R247,-0.2145,14
R248,-1.0632,9
R249,0.1249,16
R250,0.1249,16
R251,0.4644,18
R252,-0.554,12
R253,-0.554,12
R254,0.6341,19
R255,0.1249,16
R256,-1.0632,9
R257,0.6341,19
R258,1.6525,25
R259,0.9736,21
R260,-1.233,8
R261,0.2947,17
R262,-1.7422,5
R263,-1.5724,6
R264,0.4644,18
R265,0.1249,16
R266,-0.7237,11
R267,-1.5724,6
R268,-1.4027,7
R269,-0.554,12
R270,0.6341,19
R271,0.9736,21
R272,1.4828,24
R273,-0.3843,13
R274,0.1249,16
R275,0.2947,17
R276,-0.8935,10
R277,-0.0448,15
R278,0.6341,19
R279,-0.8935,10
R280,0.9736,21
R281,1.992,27
R282,-0.3843,13
R283,-0.0448,15
R284,-1.5724,6
R285,1.8223,26
R286,0.9736,21
R287,0.4644,18
R288,-0.0448,15
R289,0.2947,17
R290,-0.8935,10
R291,-0.3843,13
R292,-1.4027,7
R293,1.1433,22
R294,-0.554,12
R295,1.1433,22
R296,-0.2145,14
R297,0.4644,18
R298,1.8223,26
R299,0.6341,19
R300,0.2947,17
R301,-0.554,12
R302,-1.4027,7
R303,0.9736,21
R304,1.3131,23
R305,-0.0448,15
R306,1.6525,25
R307,0.4644,18
R308,-1.5724,6
R309,-0.2145,14
R310,-0.7237,11
R311,0.1249,16
R312,-0.2145,14
R313,-1.0632,9
R314,-0.7237,11
R315,-0.3843,13
R316,-0.8935,10
R317,-1.233,8
R318,0.2947,17
R319,0.1249,16
R320,-1.0632,9
R321,0.4644,18
R322,0.1249,16
R323,0.4644,18
R324,-0.554,12
R325,-0.554,12
R326,-0.7237,11
R327,-1.4027,7
R328,-0.554,12
R329,-0.8935,10
R330,1.4828,24
R331,-0.0448,15
R332,0.8039,20
R333,-0.2145,14
R334,-1.5724,6
R335,-0.7237,11
R336,-0.0448,15
R337,0.4644,18
R338,-0.2145,14
R339,-0.0448,15
R340,-2.0816,3
R341,-0.3843,13
R342,0.8039,20
R343,0.6341,19
R344,0.8039,20
R345,-0.3843,13
R346,-0.554,12
R347,0.9736,21
R348,-0.0448,15
R349,-1.5724,6
R350,1.6525,25
R351,-1.233,8
R352,1.1433,22
R353,1.6525,25
R354,0.6341,19
R355,1.1433,22
R356,1.992,27
R357,-1.233,8
R358,0.2947,17
R359,-0.0448,15
R360,-0.7237,11
R361,1.6525,25
R362,-0.8935,10
R363,-0.8935,10
R364,0.1249,16
R365,1.3131,23
R366,-0.7237,11
R367,-0.0448,15
R368,0.8039,20
R369,-1.4027,7
R370,-1.4027,7
R371,-1.0632,9
R372,-0.7237,11
R373,-0.0448,15
R374,1.4828,24
R375,0.6341,19
R376,-0.7237,11
R377,-0.2145,14
R378,0.2947,17
R379,0.8039,20
R380,0.6341,19
R381,0.8039,20
R382,-1.0632,9
R383,-1.9119,4
R384,-0.8935,10
R385,-0.2145,14
R386,0.1249,16
R387,-0.3843,13
R388,-0.7237,11
R389,0.6341,19
R390,-0.0448,15
R391,1.6525,25
R392,-1.7422,5
R393,-0.8935,10
R394,1.3131,23
R395,0.4644,18
R396,0.2947,17
R397,-0.554,12
R398,-0.3843,13
R399,0.6341,19
R400,-1.0632,9
R401,-1.7422,5
R402,-0.7237,11
R403,0.8039,20
R404,0.9736,21
R405,1.992,27
R406,0.4644,18
R407,0.6341,19
R408,2.1617,28
R409,-1.0632,9
R410,-1.233,8
R411,-0.2145,14
R412,0.2947,17
R413,1.992,27
R414,-0.2145,14
R415,0.8039,20
R416,-0.2145,14
R417,0.2947,17
R418,0.8039,20
R419,0.2947,17
R420,0.4644,18
R421,-0.554,12
R422,1.8223,26
R423,0.9736,21
R424,-1.0632,9
R425,0.2947,17
R426,-1.4027,7
R427,-0.3843,13
R428,-1.233,8
R429,0.6341,19
R430,2.1617,28
R431,1.3131,23
R432,1.1433,22
R433,-1.233,8
R434,0.4644,18
R435,1.4828,24
R436,-0.2145,14
R437,0.1249,16
R438,-1.233,8
R439,-1.0632,9
R440,-2.0816,3
R441,1.6525,25
R442,0.6341,19
R443,0.2947,17
R444,-0.554,12
R445,-1.0632,9
R446,-0.0448,15
R447,-1.0632,9
R448,-1.0632,9
R449,-0.2145,14
R450,-0.2145,14
R451,0.4644,18
R452,-0.8935,10
R453,-0.7237,11
R454,-0.7237,11
R455,1.4828,24
R456,-1.0632,9
R457,0.1249,16
R458,0.6341,19
R459,-0.3843,13
R460,-0.554,12
R461,1.8223,26
R462,0.8039,20
R463,-0.2145,14
R464,-2.0816,3
R465,0.8039,20
R466,1.8223,26
R467,-0.0448,15
R468,-1.7422,5
R469,-0.7237,11
R470,-0.554,12
R471,0.9736,21
R472,0.1249,16
R473,0.2947,17
R474,1.4828,24
R475,1.6525,25
R476,-1.4027,7
R477,0.9736,21
R478,-0.7237,11
R479,-0.8935,10
R480,0.4644,18
R481,-1.4027,7
R482,-0.0448,15
R483,-0.3843,13
R484,0.8039,20
R485,-0.8935,10
R486,0.2947,17
R487,-0.3843,13
R488,1.8223,26
R489,-0.7237,11
R490,-1.0632,9
R491,-0.0448,15
R492,-0.8935,10
R493,-1.0632,9
R494,1.1433,22
R495,1.1433,22
R496,-2.2514,2
R497,-0.7237,11
R498,-0.8935,10
R499,1.1433,22
R500,1.3131,23
