RespondentID,theta_hat,se_theta
R1,-0.8302,0.3355
R2,-0.1562,0.3312
R3,-1.5523,0.3551
R4,1.1011,0.36
R5,0.2054,0.333
R6,-0.4465,0.3318
R7,-0.317,0.3313
R8,0.2132,0.333
R9,-0.7323,0.3342
R10,-0.6116,0.333
R11,0.4636,0.3365
R12,0.6064,0.3396
R13,-0.0971,0.3313
R14,-0.2057,0.3312
R15,0.4847,0.3369
R16,-0.6857,0.3337
R17,-0.4152,0.3317
R18,0.2826,0.3338
R19,0.5969,0.3393
R20,-1.3412,0.3468
R21,-1.0022,0.3383
R22,0.2892,0.3338
R23,-0.1291,0.3312
R24,-0.5091,0.3322
R25,0.3718,0.3349
R26,1.7473,0.4147
R27,-1.5729,0.3561
R28,1.8976,0.4318
R29,-1.2441,0.3438
R30,0.291,0.3339
R31,-0.5681,0.3326
R32,1.191,0.3657
R33,0.6462,0.3406
R34,1.0377,0.3564
R35,-0.1443,0.3312
R36,0.5344,0.3379
R37,-0.6567,0.3334
R38,-0.15,0.3312
R39,0.6726,0.3414
R40,1.2436,0.3693
R41,0.6572,0.3409
R42,-0.1809,0.3312
R43,-0.8496,0.3357
R44,1.3939,0.3808
R45,0.7526,0.3439
R46,0.6961,0.3421
R47,1.9233,0.4348
R48,-0.3714,0.3315
R49,1.3773,0.3795
R50,2.0665,0.4524
R51,1.6623,0.4057
R52,0.7672,0.3444
R53,-0.6442,0.3333
R54,0.4962,0.3371
R55,-0.562,0.3326
R56,-0.0601,0.3314
R57,0.2766,0.3337
R58,-0.1606,0.3312
R59,0.5984,0.3394
R60,-0.6854,0.3337
R61,-0.3613,0.3315
R62,-1.1479,0.3414
R63,-1.0237,0.3387
R64,-1.1861,0.3423
R65,-0.668,0.3335
R66,1.3847,0.3801
R67,-0.2045,0.3312
R68,0.0355,0.3318
R69,-0.6529,0.3334
R70,0.3372,0.3344
R71,-1.1504,0.3414
R72,-0.4107,0.3317
R73,2.0339,0.4483
R74,-0.8193,0.3353
R75,0.8999,0.3496
R76,0.3409,0.3345
R77,-0.3335,0.3314
R78,-0.5249,0.3323
R79,1.062,0.3578
R80,0.2402,0.3333
R81,1.3069,0.3739
R82,-0.7926,0.335
R83,-0.1354,0.3312
R84,0.3549,0.3347
R85,-0.0988,0.3313
R86,-0.7658,0.3346
R87,-0.9832,0.3379
R88,-0.3255,0.3314
R89,-0.5813,0.3327
R90,0.5554,0.3383
R91,0.735,0.3433
R92,-1.1713,0.3419
R93,-1.5796,0.3565
R94,-1.2802,0.3449
R95,0.0525,0.3318
R96,1.3675,0.3787
R97,-0.0982,0.3313
R98,0.2242,0.3331
R99,-0.6363,0.3332
R100,-1.2002,0.3427
R101,-1.6147,0.3582
R102,-0.3307,0.3314
R103,0.8272,0.3466
R104,-0.5236,0.3323
R105,1.7209,0.4119
R106,-0.0382,0.3315
R107,-0.4057,0.3316
R108,0.4614,0.3364
R109,0.0737,0.332
R110,0.959,0.3524
R111,-0.3015,0.3313
R112,-2.1822,0.4056
R113,-0.2299,0.3312
R114,-0.0847,0.3313
R115,0.0502,0.3318
R116,1.7264,0.4125
R117,-1.5012,0.3528
R118,0.7291,0.3431
R119,0.2053,0.333
R120,0.0318,0.3317
R121,0.931,0.3511
R122,-0.7109,0.334
R123,-0.7051,0.3339
R124,1.2602,0.3705
R125,0.3122,0.3341
R126,0.7718,0.3446
R127,0.5666,0.3386
R128,1.6793,0.4075
R129,-0.3687,0.3315
R130,-0.916,0.3368
R131,-2.343,0.4256
R132,-1.2699,0.3446
R133,1.0571,0.3575
R134,-1.2768,0.3448
R135,-0.8739,0.3361
R136,1.7852,0.4189
R137,0.9777,0.3533
R138,1.3223,0.3751
R139,-0.9752,0.3378
R140,-2.5124,0.448
R141,1.5899,0.3985
R142,-1.431,0.35
R143,-0.1801,0.3312
R144,-0.0349,0.3315
R145,-1.2765,0.3448
R146,1.5376,0.3935
R147,1.3041,0.3737
R148,0.5701,0.3387
R149,-0.006,0.3316
R150,0.2197,0.3331
R151,-0.8849,0.3363
R152,0.4096,0.3355
R153,-0.1617,0.3312
R154,-0.6643,0.3335
R155,0.5062,0.3373
R156,-1.8962,0.3771
R157,-0.6464,0.3333
R158,-2.6354,0.4634
R159,0.2607,0.3335
R160,0.1681,0.3326
R161,0.2066,0.333
R162,2.0508,0.4504
R163,0.4893,0.3369
R164,-0.3753,0.3315
R165,1.8422,0.4253
R166,-0.556,0.3325
R167,0.4229,0.3357
R168,0.1932,0.3328
R169,-1.3158,0.346
R170,1.2886,0.3726
R171,0.5451,0.3381
R172,-0.1258,0.3312
R173,-0.7343,0.3342
R174,0.834,0.3469
R175,-0.7114,0.334
R176,-1.3926,0.3485
R177,1.3118,0.3743
R178,-0.3813,0.3315
R179,0.0429,0.3318
R180,2.0508,0.4504
R181,0.2706,0.3336
R182,0.7051,0.3424
R183,0.5519,0.3383
R184,-0.261,0.3312
R185,0.4193,0.3357
R186,0.8367,0.347
R187,0.3127,0.3341
R188,-0.6202,0.3331
R189,-2.8188,0.481
R190,0.9299,0.351
R191,-0.2534,0.3312
R192,-0.1119,0.3313
R193,1.1249,0.3615
R194,0.2673,0.3336
R195,0.0829,0.332
R196,-1.5789,0.3564
R197,-0.6207,0.3331
R198,-0.1949,0.3312
R199,0.6775,0.3415
R200,0.0301,0.3317
R201,-0.4252,0.3317
R202,0.4922,0.337
R203,-0.0201,0.3315
R204,0.058,0.3319
R205,0.2115,0.333
R206,0.5332,0.3379
R207,-0.6471,0.3333
R208,0.2055,0.333
R209,0.3078,0.3341
R210,0.0719,0.332
R211,-0.7391,0.3343
R212,0.3465,0.3346
R213,0.6659,0.3412
R214,-0.8846,0.3363
R215,0.5514,0.3383
R216,0.1522,0.3325
R217,-0.3114,0.3313
R218,-0.5719,0.3326
R219,-1.1657,0.3418
R220,-0.4178,0.3317
R221,-1.2647,0.3444
R222,-0.6087,0.333
R223,-0.2845,0.3313
R224,-0.7987,0.335
R225,0.0235,0.3317
R226,0.0182,0.3317
R227,-0.6929,0.3338
R228,-0.5305,0.3323
R229,-0.6363,0.3332
R230,0.0177,0.3317
R231,-0.3014,0.3313
R232,1.2869,0.3724
R233,1.616,0.4011
R234,1.2697,0.3712
R235,1.5006,0.3901
R236,-1.4782,0.3518
R237,0.4247,0.3358
R238,0.4789,0.3367
R239,0.0141,0.3317
R240,1.503,0.3903
R241,1.8407,0.4251
R242,0.4146,0.3356
R243,0.763,0.3443
R244,-1.393,0.3485
R245,-0.5469,0.3325
R246,0.7605,0.3442
R247,-0.1148,0.3313
R248,-0.9766,0.3378
R249,-0.0307,0.3315
R250,0.1282,0.3323
R251,0.3785,0.335
R252,-0.4013,0.3316
R253,-0.457,0.3319
R254,0.4327,0.3359
R255,-0.0062,0.3316
R256,-1.0498,0.3392
R257,0.6831,0.3417
R258,1.6619,0.4057
R259,0.945,0.3517
R260,-1.1906,0.3424
R261,0.2209,0.3331
R262,-1.8281,0.3717
R263,-1.4124,0.3493
R264,0.4755,0.3367
R265,0.2393,0.3333
R266,-0.6546,0.3334
R267,-1.6125,0.3581
R268,-1.2705,0.3446
R269,-0.4834,0.332
R270,0.4974,0.3371
R271,0.7676,0.3444
R272,1.527,0.3925
R273,-0.2314,0.3312
R274,0.1358,0.3324
R275,0.2649,0.3336
R276,-0.6883,0.3337
R277,0.0145,0.3317
R278,0.5855,0.3391
R279,-0.8955,0.3364
R280,1.0424,0.3567
R281,1.9422,0.4371
R282,-0.2805,0.3313
R283,0.0779,0.332
R284,-1.4928,0.3525
R285,1.5986,0.3993
R286,0.8192,0.3463
R287,0.2902,0.3339
R288,-0.0146,0.3315
R289,0.1723,0.3327
R290,-0.8253,0.3354
R291,-0.3251,0.3314
R292,-1.113,0.3405
R293,1.0097,0.3549
R294,-0.5309,0.3323
R295,0.9788,0.3534
R296,-0.2353,0.3312
R297,0.354,0.3347
R298,1.8323,0.4242
R299,0.5201,0.3376
R300,0.3318,0.3344
R301,-0.53,0.3323
R302,-1.1335,0.341
R303,0.702,0.3423
R304,1.1854,0.3653
R305,0.028,0.3317
R306,1.6109,0.4005
R307,0.3007,0.334
R308,-1.5675,0.3559
R309,-0.2386,0.3312
R310,-0.6887,0.3337
R311,0.063,0.3319
R312,-0.2006,0.3312
R313,-0.8894,0.3363
R314,-0.611,0.333
R315,-0.343,0.3314
R316,-0.6997,0.3338
R317,-1.1469,0.3413
R318,0.1649,0.3326
R319,0.0661,0.3319
R320,-0.7881,0.3349
R321,0.4409,0.3361
R322,0.1359,0.3324
R323,0.4334,0.3359
R324,-0.3715,0.3315
R325,-0.4477,0.3318
R326,-0.6773,0.3336
R327,-1.3974,0.3487
R328,-0.2655,0.3312
R329,-0.8864,0.3363
R330,1.4303,0.3839
R331,-0.0286,0.3315
R332,0.6113,0.3397
R333,0.0035,0.3316
R334,-1.4613,0.3511
R335,-0.5457,0.3324
R336,-0.0105,0.3316
R337,0.4118,0.3356
R338,-0.0802,0.3313
R339,0.0622,0.3319
R340,-2.0426,0.3905
R341,-0.2817,0.3313
R342,0.8536,0.3477
R343,0.5914,0.3392
R344,0.7181,0.3428
R345,-0.4392,0.3318
R346,-0.3798,0.3315
R347,0.9455,0.3517
R348,-0.0616,0.3314
R349,-1.4686,0.3514
R350,1.615,0.401
R351,-1.1457,0.3413
R352,1.0989,0.3599
R353,1.4806,0.3883
R354,0.6282,0.3401
R355,1.1911,0.3657
R356,1.9056,0.4327
R357,-0.8513,0.3358
R358,0.3581,0.3347
R359,-0.0247,0.3315
R360,-0.5311,0.3323
R361,1.654,0.4049
R362,-0.8008,0.3351
R363,-0.8346,0.3355
R364,-0.0598,0.3314
R365,1.2358,0.3688
R366,-0.6224,0.3331
R367,-0.0209,0.3315
R368,0.6342,0.3403
R369,-1.0758,0.3397
R370,-1.3779,0.348
R371,-0.9623,0.3375
R372,-0.6121,0.333
R373,-0.0407,0.3314
R374,1.3859,0.3802
R375,0.661,0.341
R376,-0.5908,0.3328
R377,-0.2182,0.3312
R378,0.3467,0.3346
R379,0.599,0.3394
R380,0.5905,0.3392
R381,0.7126,0.3426
R382,-1.0278,0.3388
R383,-1.9043,0.3777
R384,-0.6734,0.3336
R385,-0.2086,0.3312
R386,0.0006,0.3316
R387,-0.3276,0.3314
R388,-0.6108,0.333
R389,0.4441,0.3361
R390,0.0616,0.3319
R391,1.6731,0.4068
R392,-1.9014,0.3775
R393,-0.9676,0.3376
R394,1.2109,0.367
R395,0.3444,0.3345
R396,0.091,0.3321
R397,-0.5737,0.3327
R398,-0.413,0.3317
R399,0.5754,0.3388
R400,-0.8505,0.3358
R401,-1.618,0.3584
R402,-0.6717,0.3335
R403,0.7969,0.3455
R404,0.9285,0.3509
R405,2.1045,0.4572
R406,0.3946,0.3353
R407,0.6127,0.3397
R408,2.2118,0.4709
R409,-0.9895,0.338
R410,-1.1045,0.3404
R411,-0.2674,0.3312
R412,0.2262,0.3332
R413,2.0339,0.4483
R414,-0.0739,0.3313
R415,0.7028,0.3423
R416,-0.2534,0.3312
R417,0.2982,0.3339
R418,0.8674,0.3483
R419,0.3527,0.3347
R420,0.6518,0.3408
R421,-0.551,0.3325
R422,1.6762,0.4072
R423,0.9101,0.3501
R424,-0.8317,0.3355
R425,0.2172,0.3331
R426,-1.2133,0.343
R427,-0.4867,0.3321
R428,-1.0741,0.3397
R429,0.6226,0.34
R430,2.2014,0.4696
R431,1.0687,0.3582
R432,1.0571,0.3575
R433,-1.0326,0.3389
R434,0.3139,0.3341
R435,1.2535,0.37
R436,-0.2682,0.3312
R437,0.0794,0.332
R438,-1.0552,0.3393
R439,-0.9744,0.3378
R440,-2.0651,0.3928
R441,1.5791,0.3974
R442,0.5884,0.3391
R443,0.3737,0.335
R444,-0.341,0.3314
R445,-0.7862,0.3349
R446,-0.1985,0.3312
R447,-0.8205,0.3353
R448,-0.9642,0.3376
R449,-0.2587,0.3312
R450,-0.1266,0.3312
R451,0.3218,0.3342
R452,-0.8914,0.3364
R453,-0.8242,0.3354
R454,-0.6745,0.3336
R455,1.3816,0.3798
R456,-1.0531,0.3393
R457,0.0396,0.3318
R458,0.5631,0.3385
R459,-0.2975,0.3313
R460,-0.6263,0.3331
R461,1.7893,0.4193
R462,0.644,0.3406
R463,-0.2524,0.3312
R464,-2.0426,0.3905
R465,0.7624,0.3442
R466,1.5147,0.3914
R467,-0.0716,0.3314
R468,-1.7253,0.3646
R469,-0.6721,0.3336
R470,-0.3252,0.3314
R471,0.9355,0.3513
R472,0.0364,0.3318
R473,0.2377,0.3333
R474,1.199,0.3662
R475,1.43,0.3839
R476,-1.3351,0.3466
R477,0.856,0.3478
R478,-0.6504,0.3333
R479,-0.8279,0.3354
R480,0.3514,0.3346
R481,-1.4069,0.3491
R482,-0.0027,0.3316
R483,-0.3956,0.3316
R484,0.6636,0.3411
R485,-0.7376,0.3343
R486,0.2316,0.3332
R487,-0.3537,0.3314
R488,1.8331,0.4243
R489,-0.6382,0.3332
R490,-0.9609,0.3375
R491,0.0594,0.3319
R492,-0.873,0.3361
R493,-1.0237,0.3387
R494,0.8339,0.3469
R495,0.9732,0.3531
R496,-2.3026,0.4204
R497,-0.483,0.332
R498,-0.8266,0.3354
R499,0.9712,0.353
R500,1.3207,0.375
